state_Code,State
001,Andaman & Nicobar Islands
002,Andhra Pradesh
003,Arunachal Pradesh
004,Assam
005,Bihar
006,Chandigarh
007,Chhattisgarh
008,Dadra & Nagar Haveli
009,Daman & Diu
010,Goa
011,Gujarat
012,Haryana
013,Himachal Pradesh
014,Jammu & Kashmir
015,Jharkhand
016,Karnataka
017,Kerala
018,Lakshadweep
019,Madhya Pradesh
020,Maharashtra
021,Manipur
022,Meghalaya
023,Mizoram
024,Nagaland
025,Nct Of Delhi
026,Odisha
027,Puducherry
028,Punjab
029,Rajasthan
030,Sikkim
031,Tamil Nadu
032,Tripura
033,Uttar Pradesh
034,Uttarakhand
035,West Bengal
